--- Call started: 2025-10-05T22:26:39.003Z ---
Call ID: CA103e59a2720229134a97809bc5bad10c
Phone: unknown
---

[2025-10-05T22:26:39.030Z] Event: media
[2025-10-05T22:26:39.030Z] Event: media
[2025-10-05T22:26:39.030Z] Event: media
[2025-10-05T22:26:39.030Z] Event: media
[2025-10-05T22:26:39.030Z] Event: media
[2025-10-05T22:26:39.031Z] Event: media
[2025-10-05T22:26:39.031Z] Event: media
[2025-10-05T22:26:39.031Z] Event: media
[2025-10-05T22:26:39.031Z] Event: media
[2025-10-05T22:26:39.031Z] Event: media
[2025-10-05T22:26:39.031Z] Event: media
[2025-10-05T22:26:39.049Z] Event: media
[2025-10-05T22:26:39.069Z] Event: media
[2025-10-05T22:26:39.089Z] Event: media
[2025-10-05T22:26:39.109Z] Event: media
[2025-10-05T22:26:39.129Z] Event: media
[2025-10-05T22:26:39.149Z] Event: media
[2025-10-05T22:26:39.169Z] Event: media
[2025-10-05T22:26:39.189Z] Event: media
[2025-10-05T22:26:39.209Z] Event: media
[2025-10-05T22:26:39.229Z] Event: media
[2025-10-05T22:26:39.249Z] Event: media
[2025-10-05T22:26:39.269Z] Event: media
[2025-10-05T22:26:39.289Z] Event: media
[2025-10-05T22:26:39.310Z] Event: media
[2025-10-05T22:26:39.329Z] Event: media
[2025-10-05T22:26:39.349Z] Event: media
[2025-10-05T22:26:39.369Z] Event: media
[2025-10-05T22:26:39.389Z] Event: media
[2025-10-05T22:26:39.409Z] Event: media
[2025-10-05T22:26:39.429Z] Event: media
[2025-10-05T22:26:39.449Z] Event: media
[2025-10-05T22:26:39.469Z] Event: media
[2025-10-05T22:26:39.489Z] Event: media
[2025-10-05T22:26:39.509Z] Event: media
[2025-10-05T22:26:39.529Z] Event: media
[2025-10-05T22:26:39.555Z] Event: media
[2025-10-05T22:26:39.569Z] Event: media
[2025-10-05T22:26:39.589Z] Event: media
[2025-10-05T22:26:39.609Z] Event: media
[2025-10-05T22:26:39.629Z] Event: media
[2025-10-05T22:26:39.649Z] Event: media
[2025-10-05T22:26:39.669Z] Event: media
[2025-10-05T22:26:39.689Z] Event: media
[2025-10-05T22:26:39.709Z] Event: media
[2025-10-05T22:26:39.729Z] Event: media
[2025-10-05T22:26:39.749Z] Event: media
[2025-10-05T22:26:39.769Z] Event: media
[2025-10-05T22:26:39.789Z] Event: media
[2025-10-05T22:26:39.809Z] Event: media
[2025-10-05T22:26:39.829Z] Event: media
[2025-10-05T22:26:39.850Z] Event: media
[2025-10-05T22:26:39.870Z] Event: media
[2025-10-05T22:26:39.889Z] Event: media
[2025-10-05T22:26:39.910Z] Event: media
[2025-10-05T22:26:39.930Z] Event: media
[2025-10-05T22:26:39.949Z] Event: media
[2025-10-05T22:26:39.969Z] Event: media
[2025-10-05T22:26:39.990Z] Event: media
[2025-10-05T22:26:40.009Z] Event: media
[2025-10-05T22:26:40.029Z] Event: media
[2025-10-05T22:26:40.049Z] Event: media
[2025-10-05T22:26:40.069Z] Event: media
[2025-10-05T22:26:40.089Z] Event: media
[2025-10-05T22:26:40.109Z] Event: media
[2025-10-05T22:26:40.129Z] Event: media
[2025-10-05T22:26:40.149Z] Event: media
[2025-10-05T22:26:40.169Z] Event: media
[2025-10-05T22:26:40.189Z] Event: media
[2025-10-05T22:26:40.209Z] Event: media
[2025-10-05T22:26:40.229Z] Event: media
[2025-10-05T22:26:40.249Z] Event: media
[2025-10-05T22:26:40.269Z] Event: media
[2025-10-05T22:26:40.290Z] Event: media
[2025-10-05T22:26:40.309Z] Event: media
[2025-10-05T22:26:40.329Z] Event: media
[2025-10-05T22:26:40.349Z] Event: media
[2025-10-05T22:26:40.369Z] Event: media
[2025-10-05T22:26:40.389Z] Event: media
[2025-10-05T22:26:40.410Z] Event: media
[2025-10-05T22:26:40.429Z] Event: media
[2025-10-05T22:26:40.449Z] Event: media
[2025-10-05T22:26:40.470Z] Event: media
[2025-10-05T22:26:40.489Z] Event: media
[2025-10-05T22:26:40.509Z] Event: media
[2025-10-05T22:26:40.531Z] Event: media
